,h
2016-09-11,20.53028354631349
2016-09-12,20.528903549886824
2016-09-13,20.52755881013086
2016-09-14,20.763522842885173
2016-09-15,20.84319564879957
2016-09-16,20.838451352518117
2016-09-17,20.82253499216968
2016-09-18,20.803128839708492
2016-09-19,20.783274174706573
2016-09-20,20.7650101510216
2016-09-21,20.748183842981845
2016-09-22,20.732956792874408
2016-09-23,20.719221390489686
2016-09-24,20.706795239315824
2016-09-25,20.695529591263682
2016-09-26,20.685351323464722
2016-09-27,20.67605815156023
2016-09-28,20.66753903732382
2016-09-29,20.65967922528932
2016-09-30,20.652382832701303
2016-10-01,20.687928814564504
2016-10-02,20.705736509100163
2016-10-03,20.706770473020864
2016-10-04,20.700056726108375
2016-10-05,20.69103111072253
2016-10-06,20.68184560022823
2016-10-07,20.672971762967858
2016-10-08,20.66478790946741
2016-10-09,20.6572364826928
2016-10-10,20.650175172716427
2016-10-11,20.64354953916548
2016-10-12,20.63730329375685
2016-10-13,20.636325704060297
2016-10-14,20.63490457783461
2016-10-15,20.631890069929206
2016-10-16,20.627743721729328
2016-10-17,20.624461423757268
2016-10-18,20.621020900628164
2016-10-19,20.61719204428866
2016-10-20,20.613148191196572
2016-10-21,20.609040242436052
2016-10-22,20.604991781233913
2016-10-23,20.601015471363855
2016-10-24,20.599452346773035
2016-10-25,20.598404841558374
2016-10-26,20.59682722202611
2016-10-27,20.594739699636772
2016-10-28,20.59242125736852
2016-10-29,20.58983763637754
2016-10-30,20.587015389591258
2016-10-31,20.584095230195715
2016-11-01,20.581147549052954
2016-11-02,20.578320524602933
2016-11-03,20.575572890642473
2016-11-04,20.572853560870858
2016-11-05,20.58125712325304
2016-11-06,20.596154283725067
2016-11-07,20.61594871471515
2016-11-08,20.62949208719822
2016-11-09,20.715216376675052
2016-11-10,20.7793955160023
2016-11-11,20.832141832823464
2016-11-12,20.851185356746914
2016-11-13,20.8699314546187
2016-11-14,20.87492051326451
2016-11-15,20.87196861164347
2016-11-16,20.865224202922846
2016-11-17,20.8554427680831
2016-11-18,20.845266526832305
2016-11-19,20.867312457198953
2016-11-20,20.87850959599693
2016-11-21,20.87664120079096
2016-11-22,20.865216247364753
2016-11-23,20.890208982519997
2016-11-24,20.933492355650845
2016-11-25,20.955525368443745
2016-11-26,20.966676170474052
2016-11-27,20.97338388831405
2016-11-28,20.966938789800952
2016-11-29,20.954711991031896
2016-11-30,20.942053901916513
2016-12-01,20.927789470975714
2016-12-02,20.912894383160094
2016-12-03,20.898240789577894
2016-12-04,20.884225839383827
2016-12-05,20.870727702479027
2016-12-06,20.85730170048559
2016-12-07,20.84414980683616
2016-12-08,20.831564818301388
2016-12-09,20.819503521280097
2016-12-10,20.807977675352866
2016-12-11,20.797030264327027
2016-12-12,20.786676042222723
2016-12-13,20.776737274092614
2016-12-14,20.767104257318564
2016-12-15,20.75774980974977
2016-12-16,20.74890128576421
2016-12-17,20.74040430600517
2016-12-18,20.732191055214592
2016-12-19,20.724332181444517
2016-12-20,20.716846296076458
2016-12-21,20.70962702133319
2016-12-22,20.70575356433574
2016-12-23,20.712852846304585
2016-12-24,20.72007310937885
2016-12-25,20.729088318932604
2016-12-26,20.733956772921676
2016-12-27,20.737567468417758
2016-12-28,20.737529264000553
2016-12-29,20.734370360478863
2016-12-30,20.73071902013084
2016-12-31,20.726378706406766
2017-01-01,20.721957051643304
2017-01-02,20.717457998563702
2017-01-03,20.712529196528543
2017-01-04,20.707127054521354
2017-01-05,20.701739438700827
2017-01-06,20.6964421934478
2017-01-07,20.690920900828413
2017-01-08,20.685291258019646
2017-01-09,20.67979549284799
2017-01-10,20.68300425211713
2017-01-11,20.685127344290475
2017-01-12,20.68890914551804
2017-01-13,20.73427418363601
2017-01-14,20.76426047525414
2017-01-15,20.776639818287627
2017-01-16,20.79552427068494
2017-01-17,20.802865205971685
